# Regressione seno: input x in [0,1], target sin(2*pi*x)
# input   target
0.000000 0.000000
0.034483 0.214970
0.068966 0.419889
0.103448 0.605174
0.137931 0.762162
0.172414 0.883512
0.206897 0.963550
0.241379 0.998533
0.275862 0.986827
0.310345 0.928977
0.344828 0.827689
0.379310 0.687699
0.413793 0.515554
0.448276 0.319302
0.482759 0.108119
0.517241 -0.108119
0.551724 -0.319302
0.586207 -0.515554
0.620690 -0.687699
0.655172 -0.827689
0.689655 -0.928977
0.724138 -0.986827
0.758621 -0.998533
0.793103 -0.963550
0.827586 -0.883512
0.862069 -0.762162
0.896552 -0.605174
0.931034 -0.419889
0.965517 -0.214970
1.000000 -0.000000
